site,date,ecoli,air_temperature,water_temperature,watershed,waterbody
241118180336,2025-01-04,66.67,8.3,8.9,Lyon Creek,McKinnon Creek
241118180336,2025-02-01,0.0,6.0,5.4,Lyon Creek,McKinnon Creek
241118180336,2025-03-01,100.0,11.3,8.5,Lyon Creek,McKinnon Creek
241118180336,2025-04-05,0.0,14.6,10.2,Lyon Creek,McKinnon Creek
241118180336,2025-05-03,0.0,10.3,,Lyon Creek,McKinnon Creek
241118180336,2025-06-07,200.0,17.7,11.5,Lyon Creek,McKinnon Creek
241118180336,2025-10-07,0.0,16.1,11.3,Lyon Creek,McKinnon Creek
241118180336,2026-01-03,0.0,9.9,9.0,Lyon Creek,McKinnon Creek
241118180336,2026-01-31,233.33,10.5,9.5,Lyon Creek,McKinnon Creek
241118180336,2026-03-07,0.0,15.3,9.8,Lyon Creek,McKinnon Creek
241118181240,2025-01-04,0.0,9.1,8.7,Lyon Creek,Barnes
241118181240,2025-02-01,0.0,6.6,7.1,Lyon Creek,Barnes
241118181240,2025-03-01,166.67,13.1,9.1,Lyon Creek,Barnes
241118181240,2025-04-05,0.0,12.7,10.3,Lyon Creek,Barnes
241118181240,2025-05-03,0.0,10.3,,Lyon Creek,Barnes
241118181240,2025-06-07,100.0,15.9,12.1,Lyon Creek,Barnes
241118181240,2025-10-07,0.0,18.7,11.7,Lyon Creek,Barnes
241118181240,2026-01-03,33.33,10.1,9.0,Lyon Creek,Barnes
241118181240,2026-01-31,400.0,11.5,9.5,Lyon Creek,Barnes
241118181240,2026-03-07,0.0,15.3,9.9,Lyon Creek,Barnes
241118181609,2025-01-04,33.33,8.6,7.9,Lyon Creek,Lower Ballinger
241118181609,2025-02-01,100.0,6.0,5.4,Lyon Creek,Lower Ballinger
241118181609,2025-03-01,0.0,11.0,7.7,Lyon Creek,Lower Ballinger
241118181609,2025-04-05,166.67,14.6,9.2,Lyon Creek,Lower Ballinger
241118181609,2025-05-03,0.0,10.9,,Lyon Creek,Lower Ballinger
241118181609,2025-06-07,500.0,16.8,13.8,Lyon Creek,Lower Ballinger
241118181609,2025-07-12,1666.67,20.4,16.3,Lyon Creek,Lower Ballinger
241118181609,2025-08-02,400.0,17.4,16.1,Lyon Creek,Lower Ballinger
241118181609,2025-09-13,333.33,18.7,15.7,Lyon Creek,Lower Ballinger
241118181609,2025-10-07,0.0,16.1,11.6,Lyon Creek,Lower Ballinger
241118181609,2026-01-03,266.67,10.5,7.7,Lyon Creek,Lower Ballinger
241118181609,2026-01-31,666.67,10.6,8.3,Lyon Creek,Lower Ballinger
241118181609,2026-03-07,133.33,15.3,9.6,Lyon Creek,Lower Ballinger
241118181741,2025-01-04,0.0,10.8,8.0,Lyon Creek,West Fork
241118181741,2025-02-01,66.67,9.7,5.6,Lyon Creek,West Fork
241118181741,2025-03-01,66.67,11.2,8.2,Lyon Creek,West Fork
241118181741,2025-04-05,366.67,14.8,9.0,Lyon Creek,West Fork
241118181741,2025-05-03,100.0,11.2,,Lyon Creek,West Fork
241118181741,2025-06-07,300.0,17.5,13.9,Lyon Creek,West Fork
241118181741,2025-10-03,200.0,16.5,11.9,Lyon Creek,West Fork
241118181741,2026-01-03,266.67,13.2,7.6,Lyon Creek,West Fork
241118181741,2026-01-31,133.33,15.1,8.3,Lyon Creek,West Fork
241118181741,2026-03-07,33.33,15.3,9.8,Lyon Creek,West Fork
241118181852,2025-01-04,0.0,8.2,8.7,Lyon Creek,Brugger's Bog
241118181852,2025-02-01,0.0,4.6,6.3,Lyon Creek,Brugger's Bog
241118181852,2025-03-01,0.0,9.7,8.4,Lyon Creek,Brugger's Bog
241118181852,2025-04-05,0.0,12.1,9.7,Lyon Creek,Brugger's Bog
241118181852,2025-05-03,33.33,11.4,,Lyon Creek,Brugger's Bog
241118181852,2025-06-07,100.0,16.3,13.9,Lyon Creek,Brugger's Bog
241118181852,2025-10-07,200.0,18.7,13.1,Lyon Creek,Brugger's Bog
241118182046,2025-01-05,0.0,8.8,9.4,McAleer Creek,Perkins Way
241118182046,2025-02-02,0.0,5.6,6.5,McAleer Creek,Perkins Way
241118182046,2025-03-02,133.33,10.1,8.8,McAleer Creek,Perkins Way
241118182046,2025-04-06,33.33,12.8,10.5,McAleer Creek,Perkins Way
241118182046,2025-05-04,333.33,11.1,11.2,McAleer Creek,Perkins Way
241118182150,2025-01-05,133.33,8.8,9.8,McAleer Creek,Spring Creek
241118182150,2025-02-02,133.33,5.2,7.5,McAleer Creek,Spring Creek
241118182150,2025-03-02,0.0,10.0,9.5,McAleer Creek,Spring Creek
241118182150,2025-04-06,666.67,12.4,10.9,McAleer Creek,Spring Creek
241118182150,2025-05-04,633.33,11.1,11.1,McAleer Creek,Spring Creek
241118182150,2025-06-12,1133.33,16.0,12.3,McAleer Creek,Spring Creek
241118182150,2025-07-12,2200.0,22.0,14.3,McAleer Creek,Spring Creek
241118182150,2025-08-02,300.0,17.8,13.7,McAleer Creek,Spring Creek
241118182150,2025-09-13,366.67,18.2,13.9,McAleer Creek,Spring Creek
241118182150,2025-10-03,100.0,16.5,12.8,McAleer Creek,Spring Creek
241118182150,2026-01-04,33.33,11.6,9.4,McAleer Creek,Spring Creek
241118182150,2026-03-08,0.0,13.9,10.0,McAleer Creek,Spring Creek
241118182245,2025-01-05,33.33,8.0,10.4,McAleer Creek,Sarah's Creek
241118182245,2025-02-02,33.33,5.5,9.0,McAleer Creek,Sarah's Creek
241118182245,2025-03-02,33.33,10.3,10.2,McAleer Creek,Sarah's Creek
241118182245,2025-04-06,0.0,12.9,11.0,McAleer Creek,Sarah's Creek
241118182245,2025-05-04,133.33,11.1,11.1,McAleer Creek,Sarah's Creek
241118182245,2025-06-12,0.0,16.0,11.9,McAleer Creek,Sarah's Creek
241118182245,2025-10-03,0.0,16.5,12.4,McAleer Creek,Sarah's Creek
241118182245,2026-01-04,0.0,11.6,10.3,McAleer Creek,Sarah's Creek
241118182245,2026-03-08,0.0,13.9,10.5,McAleer Creek,Sarah's Creek
241118182407,2025-01-05,100.0,8.0,9.7,McAleer Creek,Whisper Creek
241118182407,2025-02-02,100.0,6.2,7.7,McAleer Creek,Whisper Creek
241118182407,2025-03-02,33.33,9.3,9.5,McAleer Creek,Whisper Creek
241118182407,2025-04-06,566.67,11.8,10.8,McAleer Creek,Whisper Creek
241118182407,2025-05-04,333.33,10.8,11.0,McAleer Creek,Whisper Creek
241118182407,2025-06-12,1100.0,16.0,12.3,McAleer Creek,Whisper Creek
241118182407,2025-10-03,200.0,16.5,12.8,McAleer Creek,Whisper Creek
241118182407,2026-01-04,33.33,11.6,9.4,McAleer Creek,Whisper Creek
241118182407,2026-03-08,33.33,13.9,10.0,McAleer Creek,Whisper Creek
241118182520,2025-01-06,100.0,9.0,9.4,McAleer Creek,Cedarbrook
241118182520,2025-02-02,100.0,6.7,7.1,McAleer Creek,Cedarbrook
241118182520,2025-03-02,300.0,12.4,9.3,McAleer Creek,Cedarbrook
241118182520,2025-04-06,1166.67,15.9,10.6,McAleer Creek,Cedarbrook
241118182520,2025-05-04,1133.33,12.2,10.93,McAleer Creek,Cedarbrook
