site,date,water_temperature,ph_standard_units,Average_dissolved_oxygen_dis,conductivity,Nitrate,Phosphate,watershed,waterbody
241118180336,2025-01-04,8.9,7.81,11.07,253.2,2.8,1.4,Lyon Creek,McKinnon Creek
241118180336,2025-02-01,7.7,8.1,11.39,263.6,1.1,0.0,Lyon Creek,McKinnon Creek
241118180336,2025-03-01,8.53,7.9,11.12,265.7,1.0,0.23,Lyon Creek,McKinnon Creek
241118180336,2025-04-05,10.1,7.84,10.94,266.9,1.3,0.42,Lyon Creek,McKinnon Creek
241118180336,2025-05-03,10.3,7.9,10.86,273.8,1.5,0.19,Lyon Creek,McKinnon Creek
241118180336,2025-06-07,11.5,7.93,10.58,278.5,1.4,0.41,Lyon Creek,McKinnon Creek
241118180336,2025-10-04,11.3,8.12,10.42,286.6,1.7,0.16,Lyon Creek,McKinnon Creek
241118180336,2026-01-03,9.0,7.76,11.18,223.5,0.3,0.26,Lyon Creek,McKinnon Creek
241118180336,2026-01-31,9.5,7.81,11.09,254.5,1.8,0.31,Lyon Creek,McKinnon Creek
241118180336,2026-03-07,9.8,7.93,11.2,244.5,1.3,0.316,Lyon Creek,McKinnon Creek
241118181240,2025-01-04,8.7,7.92,11.3,252.5,2.9,1.8,Lyon Creek,Barnes
241118181240,2025-02-01,7.1,8.2,11.74,169.7,1.0,0.0,Lyon Creek,Barnes
241118181240,2025-03-01,9.13,8.06,11.14,265.3,0.96,0.36,Lyon Creek,Barnes
241118181240,2025-04-05,10.2,8.0,11.19,263.3,1.5,0.17,Lyon Creek,Barnes
241118181240,2025-05-03,10.3,8.1,11.13,177.5,1.2,0.145,Lyon Creek,Barnes
241118181240,2025-06-07,12.1,8.15,10.69,270.7,1.2,0.37,Lyon Creek,Barnes
241118181240,2025-10-03,11.7,8.2,10.46,284.8,1.6,0.14,Lyon Creek,Barnes
241118181240,2026-01-03,9.0,8.26,11.47,222.2,0.5,0.23,Lyon Creek,Barnes
241118181240,2026-01-31,9.5,7.99,11.39,254.1,2.1,0.4,Lyon Creek,Barnes
241118181240,2026-03-07,9.96,8.14,11.18,242.63,1.33,0.353,Lyon Creek,Barnes
241118181609,2025-01-04,7.9,7.43,11.32,187.2,3.0,1.1,Lyon Creek,Lower Ballinger
241118181609,2025-02-01,5.4,7.7,12.08,212.7,0.7,0.0,Lyon Creek,Lower Ballinger
241118181609,2025-03-01,7.7,7.61,11.35,229.8,0.96,0.23,Lyon Creek,Lower Ballinger
241118181609,2025-04-05,9.2,7.62,11.46,230.8,2.4,0.22,Lyon Creek,Lower Ballinger
241118181609,2025-05-03,10.9,7.6,10.61,223.0,1.6,0.127,Lyon Creek,Lower Ballinger
241118181609,2025-06-07,13.8,7.2,9.73,226.9,1.0,0.44,Lyon Creek,Lower Ballinger
241118181609,2025-07-12,16.3,7.7,9.34,227.1,1.3,0.243,Lyon Creek,Lower Ballinger
241118181609,2025-08-02,16.1,7.8,9.45,228.0,0.9,0.505,Lyon Creek,Lower Ballinger
241118181609,2025-09-13,15.7,6.73,9.34,237.8,0.9,0.11,Lyon Creek,Lower Ballinger
241118181609,2025-10-03,11.55,7.85,10.16,237.2,1.1,0.13,Lyon Creek,Lower Ballinger
241118181609,2026-01-03,7.7,6.76,11.54,90.9,0.9,0.39,Lyon Creek,Lower Ballinger
241118181609,2026-01-31,8.3,7.37,11.63,205.9,0.7,0.32,Lyon Creek,Lower Ballinger
241118181609,2026-03-07,9.63,7.63,11.17,183.4,1.16,0.33,Lyon Creek,Lower Ballinger
241118181741,2024-12-07,8.7,7.1,10.06,56.67,2.83,2.03,Lyon Creek,West Fork
241118181741,2025-01-04,8.0,6.89,9.66,195.3,3.3,1.6,Lyon Creek,West Fork
