file,csv_line,globalid,reason
MasterBactSurvey4_13_26.csv,58,{905b362a-2b45-4301-9eeb-8db19790bcf9},missing_or_negative_target;
MasterBactSurvey4_13_26.csv,84,{ae2112a0-92a5-40cb-a213-d926796953ef},invalid_site_identifier;
MasterBactSurvey4_13_26.csv,162,{ca535ef4-a741-4a76-9a54-5fef785faf9d},invalid_site_identifier;
MasterBactSurvey4_13_26.csv,207,{d3bf6bdf-6a6b-4e2b-b476-6c8c34054246},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,259,{bb4bf5d6-160e-4682-828d-503c87b30001},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,301,{05fac007-8b77-419d-8b17-93586d5e3f2f},invalid_site_identifier;
MasterBactSurvey4_13_26.csv,359,{2becfcf7-f20c-417e-bfb0-808635165f46},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,432,{f57fae27-8013-4cab-8ad6-80ca607df5af},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,451,{bf17ff0d-67fc-4bbd-a1d8-e4c39de43103},invalid_site_identifier;
MasterBactSurvey4_13_26.csv,476,{a20fefbe-002c-4a78-addc-80449f9edbec},missing_or_negative_target;
MasterBactSurvey4_13_26.csv,479,{807faee9-e273-4455-b019-9d8e26c55247},missing_or_negative_target;
MasterBactSurvey4_13_26.csv,482,{d07dd5c0-07cb-4722-abc4-55b021dceedb},missing_or_negative_target;
MasterBactSurvey4_13_26.csv,493,{a6acaf99-8a1d-4000-a697-0ac22948472b},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,526,{754f2c0c-3c02-4d1c-8d5c-67ae02c0f146},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,575,{10f374f3-4e11-4580-a2fb-42f749bbd93b},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,576,{3aba09dc-605c-4fc8-b6f2-8b3d90b23bc1},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,583,{567b3399-3719-4f1d-89a5-dd9c25865232},nonempty_extra_columns;invalid_site_identifier;shifted_or_invalid_metadata;
MasterBactSurvey4_13_26.csv,609,{295d2d2d-2ff1-4995-839f-8a233aa8bc33},missing_or_negative_target;
MasterBactSurvey4_13_26.csv,610,{f856261c-2a87-4e98-8c6a-411b57cea905},missing_or_negative_target;
MasterBactSurvey4_13_26.csv,644,{732fb6c2-5a55-4c73-8f7e-4676d7e6309f},missing_or_negative_target;
