site,month_sin,month_cos,history_count,bacteria_age_days,last_log_ecoli,mean_last3_log_ecoli,median_history_log_ecoli,last_air_temp,last_water_temp,trend_log_ecoli,chem_water_temperature,chem_ph_standard_units,chem_Average_dissolved_oxygen_dis,chem_conductivity,chem_Nitrate,chem_Phosphate,chem_age_days,date,issue_date,actual_ecoli,waterbody
241118180336,1.0,6.123233995736766e-17,2,28,0.0,2.1073214751220672,2.1073214751220672,6.0,5.4,-4.2146429502441345,7.7,8.1,11.39,263.6,1.1,0.0,28.0,2025-03-01,2025-02-22,100.0,McKinnon Creek
241118180336,0.8660254037844387,-0.49999999999999983,3,35,4.61512051684126,2.943254489028465,4.2146429502441345,11.3,8.5,4.61512051684126,8.53,7.9,11.12,265.7,1.0,0.23,35.0,2025-04-05,2025-03-29,0.0,McKinnon Creek
241118180336,0.49999999999999994,-0.8660254037844387,4,28,0.0,1.5383735056137533,2.1073214751220672,14.6,10.2,-4.61512051684126,10.1,7.84,10.94,266.9,1.3,0.42,28.0,2025-05-03,2025-04-26,0.0,McKinnon Creek
241118180336,1.2246467991473532e-16,-1.0,5,35,0.0,1.5383735056137533,0.0,10.3,,0.0,10.3,7.9,10.86,273.8,1.5,0.19,35.0,2025-06-07,2025-05-31,200.0,McKinnon Creek
241118180336,0.49999999999999994,0.8660254037844387,7,88,0.0,1.7677683026863587,0.0,16.1,11.3,-5.303304908059076,11.3,8.12,10.42,286.6,1.7,0.16,91.0,2026-01-03,2025-12-27,0.0,McKinnon Creek
241118180336,0.49999999999999994,0.8660254037844387,8,28,0.0,1.7677683026863587,0.0,9.9,9.0,0.0,9.0,7.76,11.18,223.5,0.3,0.26,28.0,2026-01-31,2026-01-24,233.33,McKinnon Creek
241118180336,1.0,6.123233995736766e-17,9,35,5.456730378290316,1.818910126096772,0.0,10.5,9.5,5.456730378290316,9.5,7.81,11.09,254.5,1.8,0.31,35.0,2026-03-07,2026-02-28,0.0,McKinnon Creek
241118181240,1.0,6.123233995736766e-17,2,28,0.0,0.0,0.0,6.6,7.1,0.0,7.1,8.2,11.74,169.7,1.0,0.0,28.0,2025-03-01,2025-02-22,166.67,Barnes
241118181240,0.8660254037844387,-0.49999999999999983,3,35,5.121997761949716,1.7073325873165721,0.0,13.1,9.1,5.121997761949716,9.13,8.06,11.14,265.3,0.96,0.36,35.0,2025-04-05,2025-03-29,0.0,Barnes
241118181240,0.49999999999999994,-0.8660254037844387,4,28,0.0,1.7073325873165721,0.0,12.7,10.3,-5.121997761949716,10.2,8.0,11.19,263.3,1.5,0.17,28.0,2025-05-03,2025-04-26,0.0,Barnes
241118181240,1.2246467991473532e-16,-1.0,5,35,0.0,1.7073325873165721,0.0,10.3,,0.0,10.3,8.1,11.13,177.5,1.2,0.145,35.0,2025-06-07,2025-05-31,100.0,Barnes
241118181240,0.49999999999999994,0.8660254037844387,7,88,0.0,1.5383735056137533,0.0,18.7,11.7,-4.61512051684126,11.7,8.2,10.46,284.8,1.6,0.14,92.0,2026-01-03,2025-12-27,33.33,Barnes
241118181240,0.49999999999999994,0.8660254037844387,8,28,3.5360196074696004,2.71704670810362,0.0,10.1,9.0,3.5360196074696004,9.0,8.26,11.47,222.2,0.5,0.23,28.0,2026-01-31,2026-01-24,400.0,Barnes
241118181240,1.0,6.123233995736766e-17,9,35,5.993961427306569,3.17666034492539,0.0,11.5,9.5,2.457941819836969,9.5,7.99,11.39,254.1,2.1,0.4,35.0,2026-03-07,2026-02-28,0.0,Barnes
241118181609,1.0,6.123233995736766e-17,2,28,4.61512051684126,4.07557006215543,4.07557006215543,6.0,5.4,1.0791009093716593,5.4,7.7,12.08,212.7,0.7,0.0,28.0,2025-03-01,2025-02-22,0.0,Lower Ballinger
241118181609,0.8660254037844387,-0.49999999999999983,3,35,0.0,2.71704670810362,3.5360196074696004,11.0,7.7,-4.61512051684126,7.7,7.61,11.35,229.8,0.96,0.23,35.0,2025-04-05,2025-03-29,166.67,Lower Ballinger
241118181609,0.49999999999999994,-0.8660254037844387,4,28,5.121997761949716,3.2457060929303254,4.07557006215543,14.6,9.2,5.121997761949716,9.2,7.62,11.46,230.8,2.4,0.22,28.0,2025-05-03,2025-04-26,0.0,Lower Ballinger
241118181609,1.2246467991473532e-16,-1.0,5,35,0.0,1.7073325873165721,3.5360196074696004,10.9,,-5.121997761949716,10.9,7.6,10.61,223.0,1.6,0.127,35.0,2025-06-07,2025-05-31,500.0,Lower Ballinger
241118181609,-0.4999999999999998,-0.8660254037844388,6,35,6.2166061010848646,3.779534621011527,4.07557006215543,16.8,13.8,6.2166061010848646,13.8,7.2,9.73,226.9,1.0,0.44,35.0,2025-07-12,2025-07-05,1666.67,Lower Ballinger
241118181609,-0.8660254037844384,-0.5000000000000004,7,21,7.419182721618817,4.545262940901227,4.61512051684126,20.4,16.3,1.2025766205339528,16.3,7.7,9.34,227.1,1.3,0.243,21.0,2025-08-02,2025-07-26,400.0,Lower Ballinger
241118181609,-1.0,-1.8369701987210297e-16,8,42,5.993961427306569,6.54325008333675,4.868559139395488,17.4,16.1,-1.425221294312248,16.1,7.8,9.45,228.0,0.9,0.505,42.0,2025-09-13,2025-09-06,333.33,Lower Ballinger
241118181609,-0.8660254037844386,0.5000000000000001,9,24,5.812128529154394,6.408424226026593,5.121997761949716,18.7,15.7,-0.18183289815217574,15.7,6.73,9.34,237.8,0.9,0.11,24.0,2025-10-07,2025-09-30,0.0,Lower Ballinger
241118181609,0.49999999999999994,0.8660254037844387,10,88,0.0,3.9353633188203205,4.868559139395488,16.1,11.6,-5.812128529154394,11.55,7.85,10.16,237.2,1.1,0.13,92.0,2026-01-03,2025-12-27,266.67,Lower Ballinger
241118181609,0.49999999999999994,0.8660254037844387,11,28,5.5897548785012345,3.800627802551876,5.121997761949716,10.5,7.7,5.5897548785012345,7.7,6.76,11.54,90.9,0.9,0.39,28.0,2026-01-31,2026-01-24,666.67,Lower Ballinger
241118181609,1.0,6.123233995736766e-17,12,35,6.503794039496479,4.0311829726659045,5.355876320225475,10.6,8.3,0.9140391609952445,8.3,7.37,11.63,205.9,0.7,0.32,35.0,2026-03-07,2026-02-28,133.33,Lower Ballinger
241118181741,1.0,6.123233995736766e-17,2,28,4.2146429502441345,2.1073214751220672,2.1073214751220672,9.7,5.6,4.2146429502441345,5.6,7.2,10.29,227.3,1.0,0.0,28.0,2025-03-01,2025-02-22,66.67,West Fork
241118181741,0.8660254037844387,-0.49999999999999983,3,35,4.2146429502441345,2.809761966829423,4.2146429502441345,11.2,8.2,0.0,8.2,7.06,9.68,243.3,0.9,0.13,35.0,2025-04-05,2025-03-29,366.67,West Fork
241118181741,0.49999999999999994,-0.8660254037844387,4,28,5.907185796727432,4.7788238990719,4.2146429502441345,14.8,9.0,1.6925428464832972,9.0,6.83,9.91,248.4,1.0,0.3,28.0,2025-05-03,2025-04-26,100.0,West Fork
241118181741,1.2246467991473532e-16,-1.0,5,35,4.61512051684126,4.912316421270941,4.2146429502441345,11.2,,-1.292065279886172,11.2,7.0,8.51,234.8,1.3,0.21,35.0,2025-06-07,2025-05-31,300.0,West Fork
241118181741,-0.8660254037844386,0.5000000000000001,6,118,5.707110264748875,5.409805526105856,4.414881733542697,17.5,13.9,1.0919897479076157,13.9,7.12,8.34,245.1,1.1,1.0,118.0,2025-10-03,2025-09-26,200.0,West Fork
241118181741,0.49999999999999994,0.8660254037844387,7,92,5.303304908059076,5.208511896549737,4.61512051684126,16.5,11.9,-0.40380535668979967,11.9,7.63,8.88,252.6,1.1,0.15,92.0,2026-01-03,2025-12-27,266.67,West Fork
241118181741,0.49999999999999994,0.8660254037844387,8,28,5.5897548785012345,5.533390017103062,4.959212712450167,13.2,7.6,0.2864499704421588,7.6,6.13,10.43,80.9,0.6,0.22,28.0,2026-01-31,2026-01-24,133.33,West Fork
241118181741,1.0,6.123233995736766e-17,9,35,4.900299459074922,5.264453081878411,4.900299459074922,15.1,8.3,-0.6894554194263129,8.3,6.5,9.58,210.0,0.8,0.25,35.0,2026-03-07,2026-02-28,33.33,West Fork
241118181852,1.0,6.123233995736766e-17,2,28,0.0,0.0,0.0,4.6,6.3,0.0,6.3,7.4,11.0,204.6,0.7,0.0,28.0,2025-03-01,2025-02-22,0.0,Brugger's Bog
241118181852,0.8660254037844387,-0.49999999999999983,3,35,0.0,0.0,0.0,9.7,8.4,0.0,8.43,7.36,10.56,204.63,0.83,0.16,35.0,2025-04-05,2025-03-29,0.0,Brugger's Bog
241118181852,0.49999999999999994,-0.8660254037844387,4,28,0.0,0.0,0.0,12.1,9.7,0.0,9.7,7.27,10.55,206.0,1.0,0.19,28.0,2025-05-03,2025-04-26,33.33,Brugger's Bog
241118181852,1.2246467991473532e-16,-1.0,5,35,3.5360196074696004,1.1786732024898667,0.0,11.4,,3.5360196074696004,11.2,7.3,9.15,138.5,1.2,0.197,35.0,2025-06-07,2025-05-31,100.0,Brugger's Bog
241118182046,1.0,6.123233995736766e-17,2,28,0.0,0.0,0.0,5.6,6.5,0.0,6.5,8.0,11.85,217.4,2.0,1.0,28.0,2025-03-02,2025-02-23,133.33,Perkins Way
241118182046,0.8660254037844387,-0.49999999999999983,3,35,4.900299459074922,1.633433153024974,0.0,10.1,8.8,4.900299459074922,8.8,7.8,11.23,218.9,1.1,0.4,35.0,2025-04-06,2025-03-30,33.33,Perkins Way
241118182046,0.49999999999999994,-0.8660254037844387,4,28,3.5360196074696004,2.8121063555148407,1.7680098037348002,12.8,10.5,-1.3642798516053212,10.5,7.8,10.9,223.95,1.5,0.15,28.0,2025-05-04,2025-04-27,333.33,Perkins Way
241118182150,1.0,6.123233995736766e-17,2,28,4.900299459074922,4.900299459074922,4.900299459074922,5.2,7.5,0.0,7.5,8.1,11.61,262.9,1.6,1.1,28.0,2025-03-02,2025-02-23,0.0,Spring Creek
241118182150,0.8660254037844387,-0.49999999999999983,3,35,0.0,3.266866306049948,4.900299459074922,10.0,9.5,-4.900299459074922,9.5,8.0,11.1,269.6,1.2,0.35,35.0,2025-04-06,2025-03-30,666.67,Spring Creek
241118182150,0.49999999999999994,-0.8660254037844387,4,28,6.503794039496479,3.8013644995238,4.900299459074922,12.4,10.9,6.503794039496479,10.9,8.0,10.83,271.5,1.6,0.113,28.0,2025-05-04,2025-04-27,633.33,Spring Creek
241118182150,1.2246467991473532e-16,-1.0,5,39,6.452569323753487,4.318787787749989,4.900299459074922,11.1,11.1,-0.051224715742992366,11.2,7.88,10.79,227.8,1.6,0.25,39.0,2025-06-12,2025-06-05,1133.33,Spring Creek
241118182150,-0.4999999999999998,-0.8660254037844388,6,30,7.033797447244876,6.663386936831614,5.676434391414205,16.0,12.3,0.581228123491389,12.3,8.03,10.48,275.4,1.3,0.27,30.0,2025-07-12,2025-07-05,2200.0,Spring Creek
241118182150,-0.8660254037844384,-0.5000000000000004,7,21,7.696667081526462,7.061011284174941,6.452569323753487,22.0,14.3,0.6628696342815861,14.3,8.0,10.02,276.1,1.5,0.37,21.0,2025-08-02,2025-07-26,300.0,Spring Creek
241118182150,-1.0,-1.8369701987210297e-16,8,42,5.707110264748875,6.812524931173404,6.079839794251181,17.8,13.7,-1.9895568167775863,13.7,8.0,9.97,271.0,1.5,0.087,42.0,2025-09-13,2025-09-06,366.67,Spring Creek
241118182150,-0.8660254037844386,0.5000000000000001,9,20,5.907185796727432,6.436987714334257,5.907185796727432,18.2,13.9,0.20007553197855632,13.9,6.7,9.72,279.5,1.3,0.24,20.0,2025-10-03,2025-09-26,100.0,Spring Creek
241118182150,0.49999999999999994,0.8660254037844387,10,93,4.61512051684126,5.409805526105855,5.807148030738153,16.5,12.8,-1.292065279886172,12.8,8.21,10.18,281.3,1.7,0.21,93.0,2026-01-04,2025-12-28,33.33,Spring Creek
241118182150,1.0,6.123233995736766e-17,11,63,3.5360196074696004,4.686108640346098,5.707110264748875,11.6,9.4,-1.0791009093716593,9.4,8.19,11.32,236.8,0.3,0.13,63.0,2026-03-08,2026-03-01,0.0,Spring Creek
241118182245,1.0,6.123233995736766e-17,2,28,3.5360196074696004,3.5360196074696004,3.5360196074696004,5.5,9.0,0.0,9.0,8.0,11.12,259.1,1.9,1.267,28.0,2025-03-02,2025-02-23,33.33,Sarah's Creek
241118182245,0.8660254037844387,-0.49999999999999983,3,35,3.5360196074696004,3.5360196074696,3.5360196074696004,10.3,10.2,0.0,10.2,7.8,10.88,264.7,1.2,0.25,35.0,2025-04-06,2025-03-30,0.0,Sarah's Creek
241118182245,0.49999999999999994,-0.8660254037844387,4,28,0.0,2.3573464049797335,3.5360196074696004,12.9,11.0,-3.5360196074696004,11.0,7.8,10.7,268.5,1.6,0.09,28.0,2025-05-04,2025-04-27,133.33,Sarah's Creek
