csv_line,target,reported,candidate_formula,matches_candidate_formula
3,dissolved_oxygen,11.53,11.53,True
4,dissolved_oxygen,11.61,11.61,True
5,dissolved_oxygen,11.23,11.23,True
6,dissolved_oxygen,10.21,10.21,True
7,dissolved_oxygen,9.28,9.28,True
8,dissolved_oxygen,10.88,10.879999999999999,True
9,dissolved_oxygen,8.84,8.84,True
10,dissolved_oxygen,9.17,9.17,True
11,dissolved_oxygen,9.25,9.245000000000001,True
12,dissolved_oxygen,9.5,9.5,True
13,dissolved_oxygen,11.19,11.19,True
14,dissolved_oxygen,10.36,10.36,True
15,dissolved_oxygen,10.36,10.36,True
16,dissolved_oxygen,11.7,11.7,True
20,dissolved_oxygen,10.6,10.600000000000001,True
21,dissolved_oxygen,8.7,8.649999999999999,True
22,dissolved_oxygen,11.1,11.1,True
23,dissolved_oxygen,12.2,12.2,True
24,dissolved_oxygen,10.8,10.8,True
25,dissolved_oxygen,10.0,9.95,True
26,dissolved_oxygen,9.7,9.65,True
27,dissolved_oxygen,9.0,9.0,True
28,dissolved_oxygen,9.2,9.2,True
29,dissolved_oxygen,10.0,10.0,True
30,dissolved_oxygen,11.3,11.3,True
31,dissolved_oxygen,10.1,10.1,True
32,dissolved_oxygen,10.6,10.6,True
33,dissolved_oxygen,10.9,10.9,True
34,dissolved_oxygen,11.0,11.0,True
35,dissolved_oxygen,8.0,7.95,True
36,dissolved_oxygen,10.3,10.3,True
37,dissolved_oxygen,7.6,7.6,True
38,dissolved_oxygen,7.7,7.65,True
39,dissolved_oxygen,10.0,10.0,True
40,dissolved_oxygen,9.8,9.8,True
42,dissolved_oxygen,8.0,8.0,True
43,dissolved_oxygen,7.9,7.9,True
54,dissolved_oxygen,8.5,8.5,True
55,dissolved_oxygen,11.5,11.5,True
56,dissolved_oxygen,8.7,8.7,True
57,dissolved_oxygen,8.1,8.05,True
58,dissolved_oxygen,8.5,8.5,True
59,dissolved_oxygen,10.4,10.399999999999999,True
60,dissolved_oxygen,9.8,9.8,True
61,dissolved_oxygen,10.8,10.8,True
62,dissolved_oxygen,11.4,11.399999999999999,True
63,dissolved_oxygen,9.7,9.649999999999999,True
64,dissolved_oxygen,8.4,8.4,True
65,dissolved_oxygen,9.8,9.8,True
66,dissolved_oxygen,3.9,3.9,True
