target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,historical_tail_event,100,26,0.5917805140599232,0.5981604952875383,1.0666002315228622,96.96834580978054,-86.61126086477155,100,75,25,0,0.75,1.0,False
alkalinity,ordinary_result,335,36,0.14676254053839008,0.17021564769213668,13.778467180740895,12.523162358963715,-2.01721583778909,0,0,0,108,,0.0,False
conductivity,historical_tail_event,92,30,0.7169335240742213,0.6254027768182878,-14.635487824597222,176.7447817322396,-104.68994434756267,92,0,92,0,0.0,,False
conductivity,ordinary_result,431,59,0.1354708325174592,0.131671884685425,-2.885162493960034,28.820849392880167,-16.209098125317404,0,0,0,0,,,False
dissolved_oxygen,historical_tail_event,116,29,1.3805664134913387,1.6680048896266566,17.23247203427888,1.3805664134913387,0.837595346610329,116,74,42,0,0.6379310344827587,1.0,False
dissolved_oxygen,ordinary_result,496,64,0.5572522719187613,0.7383937920278646,24.531831397394473,0.5572522719187613,-0.13252306892684232,0,0,0,13,,0.0,False
ecoli,historical_tail_event,88,34,2.27402037901068,2.3001141524102766,1.1344555822263522,668.7250392983367,-662.4089015249187,88,0,88,0,0.0,,False
ecoli,ordinary_result,371,50,1.4473851175450763,1.7832869225429524,18.836105438315162,48.209823490286524,-13.53258429040871,0,0,0,0,,,False
hardness,historical_tail_event,89,24,0.5112457946058114,0.5274242342885392,3.0674433655009166,70.50394789726155,-59.406470494269925,89,68,21,0,0.7640449438202247,1.0,False
hardness,ordinary_result,339,36,0.13825441302262,0.14418561832336743,4.113590085971967,10.54938517905285,-2.4308313093440894,0,0,0,170,,0.0,False
nitrate,historical_tail_event,19,11,0.31633370346974027,0.31633370346974027,0.0,1.015429010181506,-0.9691132207078217,19,18,1,0,0.9473684210526315,1.0,True
nitrate,ordinary_result,168,24,0.17309779932929004,0.17309779932929004,0.0,0.3854579869357867,0.11825851490253227,0,0,0,161,,0.0,False
other_coliform,historical_tail_event,35,15,1.1636685662576778,1.1636685662576778,0.0,4383.489142857142,-1771.1080000000004,35,11,24,0,0.3142857142857143,1.0,False
other_coliform,ordinary_result,129,31,1.0773321044073938,1.0773321044073938,0.0,1391.7446511627907,824.291472868217,0,0,0,6,,0.0,False
oxygen_saturation,historical_tail_event,107,21,12.874881917781167,13.298143175619813,3.182859834255911,12.874881917781167,4.583069327895,107,85,22,0,0.794392523364486,1.0,False
oxygen_saturation,ordinary_result,505,59,4.857443023647862,4.406681720617116,-10.229041523961508,4.857443023647862,-2.511632280372374,0,0,0,20,,0.0,False
ph,historical_tail_event,99,33,0.4390909090909091,0.4390909090909091,0.0,0.4390909090909091,-0.01828282828282829,99,85,14,0,0.8585858585858586,1.0,False
ph,ordinary_result,532,64,0.22473045112781956,0.22473045112781956,0.0,0.22473045112781956,0.012763157894736844,0,0,0,306,,0.0,False
salinity,historical_tail_event,11,6,0.06356763491690859,0.0536769798909363,-18.426250966557067,0.0717607080102128,-0.045088094980039004,11,7,4,0,0.6363636363636364,1.0,True
salinity,ordinary_result,22,11,0.02295577863135011,0.017362578515513018,-32.21410985032961,0.02517422097183243,0.007556235977220932,0,0,0,9,,0.0,False
turbidity_legacy,historical_tail_event,115,21,1.0495277941114622,1.0495277941114622,0.0,14.841479638624714,-14.26665804497408,115,93,22,0,0.808695652173913,1.0,False
turbidity_legacy,ordinary_result,297,31,0.1247029886740378,0.1247029886740378,0.0,0.3688926291798985,0.011479635966489776,0,0,0,124,,0.0,False
turbidity_reported,historical_tail_event,57,24,1.0948253402314343,1.0948253402314343,0.0,30.293864694496676,-23.676468776347544,57,32,25,0,0.5614035087719298,1.0,False
turbidity_reported,ordinary_result,253,46,0.3432862289014796,0.3432862289014796,0.0,2.065351693566199,1.135156391311081,0,0,0,38,,0.0,False
water_temperature,historical_tail_event,100,45,1.3494979215453182,4.542164219114219,70.28953916138929,1.3494979215453182,-1.1544453331037747,100,83,17,0,0.83,1.0,False
water_temperature,ordinary_result,534,62,1.4814722450489974,1.824932164719384,18.820421181145637,1.4814722450489974,0.14888874770946747,0,0,0,39,,0.0,False
