target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,outside_training_5th_95th_percentiles,63,19,0.7701418916188435,0.7592297842953926,-1.4372601746094535,140.28539254805125,-134.47464098430012,63,54,9,0,0.8571428571428571,1.0,False
alkalinity,within_training_5th_95th_percentiles,372,36,0.16081871858700503,0.18550219111561797,13.306297020086664,13.586328604042123,-2.325244650875252,37,21,16,108,0.5675675675675675,0.16279069767441862,False
conductivity,outside_training_5th_95th_percentiles,51,22,1.0413922032507927,0.9224505484938172,-12.89409551018037,259.34274131901395,-144.73232941930175,51,0,51,0,0.0,,False
conductivity,within_training_5th_95th_percentiles,472,61,0.1509212090340315,0.14246326227439826,-5.936931826917175,32.74539449243154,-19.568320702549105,41,0,41,0,0.0,,False
dissolved_oxygen,outside_training_5th_95th_percentiles,31,23,2.1499610010316945,2.8843326409253827,25.460712452988055,2.1499610010316945,0.42683082181132176,16,15,1,0,0.9375,1.0,False
dissolved_oxygen,within_training_5th_95th_percentiles,581,65,0.6366506709203413,0.8094966887673427,21.35228225704071,0.6366506709203413,0.03132162227699377,100,59,41,13,0.59,0.8194444444444444,False
ecoli,outside_training_5th_95th_percentiles,13,12,3.2661543743877104,2.5431939812947357,-28.427261090202673,2054.6691798905044,-2054.6691798905044,13,0,13,0,0.0,,True
ecoli,within_training_5th_95th_percentiles,446,50,1.5574745854150733,1.8631120446607807,16.40467411080235,112.15907765599411,-82.0669792990088,75,0,75,0,0.0,,False
hardness,outside_training_5th_95th_percentiles,33,15,0.986409313236163,1.0336896902073454,4.573942975255806,155.2014408292757,-136.05148260179936,33,26,7,0,0.7878787878787878,1.0,False
hardness,within_training_5th_95th_percentiles,395,36,0.15143699847542283,0.15622258654799784,3.0633138128875395,11.973279471364803,-4.105136106324788,56,42,14,170,0.75,0.19811320754716982,False
nitrate,outside_training_5th_95th_percentiles,15,6,0.27950975290173274,0.27950975290173274,0.0,0.7733333333333334,-0.2,2,2,0,11,1.0,0.15384615384615385,True
nitrate,within_training_5th_95th_percentiles,172,24,0.1796402579053477,0.1796402579053477,0.0,0.4212214709224465,0.025896972733586075,17,16,1,150,0.9411764705882353,0.0963855421686747,False
other_coliform,outside_training_5th_95th_percentiles,16,11,1.398050552679949,1.398050552679949,0.0,1925.0000000000005,-266.66624999999976,2,0,2,1,0.0,0.0,True
other_coliform,within_training_5th_95th_percentiles,148,27,1.0630772462479279,1.0630772462479279,0.0,2041.6025675675671,328.45594594594576,33,11,22,5,0.3333333333333333,0.6875,False
oxygen_saturation,outside_training_5th_95th_percentiles,19,10,24.078548481300334,31.85277604997341,24.406750471218555,24.078548481300334,14.699292536354813,16,16,0,0,1.0,1.0,True
oxygen_saturation,within_training_5th_95th_percentiles,593,64,5.688243964586929,5.13165740936504,-10.846136264009832,5.688243964586929,-1.7829214868364676,91,69,22,20,0.7582417582417582,0.7752808988764045,False
ph,outside_training_5th_95th_percentiles,83,30,0.48807228915662637,0.48807228915662637,0.0,0.48807228915662637,-0.041325301204819274,83,70,13,0,0.8433734939759037,1.0,False
ph,within_training_5th_95th_percentiles,548,66,0.22357043795620438,0.22357043795620438,0.0,0.22357043795620438,0.015346715328467153,16,15,1,306,0.9375,0.04672897196261682,False
salinity,outside_training_5th_95th_percentiles,7,5,0.06983541977129244,0.05702604695619055,-22.462319411588386,0.079469348461812,-0.04863193191577221,7,5,2,0,0.7142857142857143,1.0,True
salinity,within_training_5th_95th_percentiles,26,12,0.027516275983717305,0.02204773759416354,-24.80317250782862,0.030265969625383474,0.00041121808187834393,4,2,2,9,0.5,0.18181818181818182,False
turbidity_legacy,outside_training_5th_95th_percentiles,28,12,2.0859064274881782,2.0859064274881782,0.0,48.78128434269157,-48.78128434269157,28,24,4,0,0.8571428571428571,1.0,False
turbidity_legacy,within_training_5th_95th_percentiles,384,32,0.25866433330556876,0.25866433330556876,0.0,1.173060697169031,-0.706719431496374,87,69,18,124,0.7931034482758621,0.35751295336787564,False
turbidity_reported,outside_training_5th_95th_percentiles,65,27,0.9158735000405771,0.9158735000405771,0.0,21.34635525291212,-18.26366685425451,12,5,7,7,0.4166666666666667,0.4166666666666667,False
turbidity_reported,within_training_5th_95th_percentiles,245,43,0.3662231951127697,0.3662231951127697,0.0,3.517433365792944,0.5092824174548441,45,27,18,31,0.6,0.46551724137931033,False
water_temperature,outside_training_5th_95th_percentiles,42,24,3.6081383379382173,6.186928488178488,41.68126648251433,3.6081383379382173,2.014006154823198,12,12,0,0,1.0,1.0,False
water_temperature,within_training_5th_95th_percentiles,592,65,1.3083009473265057,1.974458110419048,33.73873365949307,1.3083009473265057,-0.2035915549596219,88,71,17,39,0.8068181818181818,0.6454545454545455,False
