target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,10–35 days,325,33,0.243050274683987,0.2571862114596693,5.496382055419422,30.71951939003036,-20.571672567029847,81,58,23,77,0.7160493827160493,0.42962962962962964,False
alkalinity,36–60 days,81,33,0.2694540942185848,0.30607990499760207,11.966094533159312,35.04982051209448,-23.809779868343124,12,11,1,21,0.9166666666666666,0.34375,False
alkalinity,61–120 days,29,20,0.25953039939144373,0.29173449918694233,11.038838356536756,36.869472689357835,-24.91405650055197,7,6,1,10,0.8571428571428571,0.375,False
conductivity,10–35 days,364,45,0.24515752322275733,0.21579726036641883,-13.605484521205433,60.973760448035584,-41.39582163135183,63,0,63,0,0.0,,False
conductivity,36–60 days,84,43,0.21011944682436623,0.20498572688619734,-2.504427999037704,33.34142344003534,-7.959354050935827,11,0,11,0,0.0,,False
conductivity,61–120 days,75,40,0.2327792139136383,0.2469151191317818,5.725005932341872,49.16236847532629,-11.745751438625188,18,0,18,0,0.0,,False
dissolved_oxygen,10–35 days,431,49,0.6388762823865988,0.8130098919834999,21.41838756378074,0.6388762823865988,0.06043884261365851,73,44,29,6,0.6027397260273972,0.88,False
dissolved_oxygen,36–60 days,100,48,0.8674296084628373,1.2586309267121765,31.08149577026872,0.8674296084628373,0.10778150042408154,23,12,11,2,0.5217391304347826,0.8571428571428571,False
dissolved_oxygen,61–120 days,81,42,0.919064102244359,1.0303892830420607,10.804186595286764,0.919064102244359,-0.06663794061494596,20,18,2,5,0.9,0.782608695652174,False
ecoli,10–35 days,334,48,1.6177754305129994,1.8991664496038103,14.81655381757152,165.27867814684492,-133.305284290699,61,0,61,0,0.0,,False
ecoli,36–60 days,76,36,1.5593735702393785,1.9492705015176406,20.00219728224998,217.8277473535299,-197.83814856129123,19,0,19,0,0.0,,False
ecoli,61–120 days,49,33,1.5968221802577234,1.6641498243372712,4.0457681811408,101.54409537215216,-76.58995637107937,8,0,8,0,0.0,,False
hardness,10–35 days,318,33,0.20980156680309392,0.21538946573857357,2.5943232257523183,22.165538096087072,-13.604389712301144,73,52,21,125,0.7123287671232876,0.2937853107344633,False
hardness,36–60 days,82,32,0.1568799985617411,0.18023240118933337,12.95682822483216,12.142351698979846,-4.641167487364604,10,10,0,35,1.0,0.2222222222222222,False
hardness,61–120 days,28,19,0.45671655746924184,0.44809908788963665,-1.9231169650868833,64.52782088154137,-50.15914376364318,6,6,0,10,1.0,0.375,False
nitrate,10–35 days,121,21,0.18454242751405578,0.18454242751405578,0.0,0.4460585101430255,0.029637958489897247,8,7,1,106,0.875,0.061946902654867256,False
nitrate,36–60 days,30,14,0.08485145724271617,0.08485145724271617,0.0,0.19085232949217185,0.008990289798877622,6,6,0,24,1.0,0.2,False
nitrate,61–120 days,36,20,0.2837664779656544,0.2837664779656544,0.0,0.676428982960821,-0.0667117322518637,5,5,0,31,1.0,0.1388888888888889,False
other_coliform,10–35 days,112,27,0.9740694575445529,0.9740694575445529,0.0,2044.2107142857142,322.6717857142856,22,8,14,5,0.36363636363636365,0.6153846153846154,False
other_coliform,36–60 days,16,13,0.844576259569983,0.844576259569983,0.0,1577.43125,-864.235,8,3,5,0,0.375,1.0,True
other_coliform,61–120 days,36,18,1.585978941373968,1.585978941373968,0.0,2187.9633333333336,612.0372222222225,5,0,5,1,0.0,0.0,False
oxygen_saturation,10–35 days,431,49,5.837071334686803,5.492069547010092,-6.281817532054578,5.837071334686803,-1.4005030569642805,61,45,16,14,0.7377049180327869,0.7627118644067796,False
oxygen_saturation,36–60 days,100,48,6.7798237532056485,6.9928892057942065,3.0468872924801254,6.7798237532056485,0.23660693000519806,25,19,6,3,0.76,0.8636363636363636,False
oxygen_saturation,61–120 days,81,42,7.862481130545425,7.18400856002708,-9.444206042479816,7.862481130545425,-2.4448118389160345,21,21,0,3,1.0,0.875,False
ph,10–35 days,454,49,0.24749625550660795,0.24749625550660795,0.0,0.24749625550660795,-0.0011085903083700467,62,51,11,239,0.8225806451612904,0.17586206896551723,False
ph,36–60 days,96,47,0.2972916666666666,0.2972916666666666,0.0,0.2972916666666666,0.003958333333333332,12,11,1,31,0.9166666666666666,0.2619047619047619,False
ph,61–120 days,81,41,0.2731271604938272,0.2731271604938272,0.0,0.2731271604938272,0.06300370370370371,25,23,2,36,0.92,0.3898305084745763,False
salinity,36–60 days,5,5,0.03240349690974293,0.013111350624227486,-147.14080065761436,0.034932792102341556,0.034932792102341556,1,1,0,4,1.0,0.2,True
salinity,61–120 days,28,8,0.03722334390810651,0.03238809832215887,-14.929081472620833,0.041733453177890956,-0.018014136206902724,10,6,4,5,0.6,0.5454545454545454,False
turbidity_legacy,10–35 days,316,31,0.4060220774973396,0.4060220774973396,0.0,3.2729877375533007,-2.936008999027229,93,76,17,101,0.8172043010752689,0.4293785310734463,False
turbidity_legacy,36–60 days,72,30,0.17510304740368843,0.17510304740368843,0.0,1.0408764699554574,-0.5361308055833791,14,11,3,16,0.7857142857142857,0.4074074074074074,False
turbidity_legacy,61–120 days,24,19,0.7009203356992715,0.7009203356992715,0.0,29.463501600193165,-27.953165066473503,8,6,2,7,0.75,0.46153846153846156,False
turbidity_reported,10–35 days,178,31,0.4617027939772219,0.4617027939772219,0.0,6.633296103649999,-0.9384015005593292,29,14,15,21,0.4827586206896552,0.4,False
turbidity_reported,36–60 days,62,29,0.3863645255924298,0.3863645255924298,0.0,5.098884310188234,-3.982741486234723,10,5,5,5,0.5,0.5,False
turbidity_reported,61–120 days,70,37,0.6159823198655707,0.6159823198655707,0.0,10.748953319674124,-9.262838771485615,18,13,5,12,0.7222222222222222,0.52,False
water_temperature,10–35 days,456,49,1.3328434257395667,2.059472979962289,35.282305778832196,1.3328434257395667,-0.01869469490723064,65,53,12,27,0.8153846153846154,0.6625,False
water_temperature,36–60 days,98,47,1.862698172804687,3.219096864020333,42.13600113671753,1.862698172804687,0.3738729312561558,23,19,4,3,0.8260869565217391,0.8636363636363636,False
water_temperature,61–120 days,80,41,1.696686849232433,2.176737829184704,22.05368848356322,1.696686849232433,-0.8006588552365994,12,11,1,9,0.9166666666666666,0.55,False
