target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,autumn,78,28,0.30957627764669504,0.3207865150915949,3.494609940726145,54.228259805814865,-44.53637281108585,20,16,4,25,0.8,0.3902439024390244,False
alkalinity,spring,135,34,0.24728105131090877,0.2720165930561553,9.09339443867679,25.64424013065239,-12.237125073305792,22,16,6,32,0.7272727272727273,0.3333333333333333,False
alkalinity,summer,93,30,0.2020921900158862,0.25868285311050415,21.876464718921113,29.39087690951581,-22.2020690012532,31,25,6,24,0.8064516129032258,0.5102040816326531,False
alkalinity,winter,129,35,0.2482095909415558,0.24059843353966942,-3.16342766239643,26.87570338104105,-16.637612487278876,27,18,9,27,0.6666666666666666,0.4,False
conductivity,autumn,100,52,0.23092874322092796,0.18980147108533563,-21.668573958049738,39.04079721076459,-2.2199691293854835,16,0,16,0,0.0,,False
conductivity,spring,155,46,0.19701040259387081,0.1733443849304081,-13.652601249797515,37.083323146727,-20.274803676806954,16,0,16,0,0.0,,False
conductivity,summer,129,49,0.17257443741894463,0.1789541955847952,3.5650229630003842,33.99743699482481,-18.070663903100094,23,0,23,0,0.0,,False
conductivity,winter,139,53,0.3485915386954436,0.32628791196773577,-6.83556635402212,105.35713544277591,-78.57474133556853,37,0,37,0,0.0,,False
dissolved_oxygen,autumn,116,56,0.6363149000352119,0.9076928226227795,29.897550781928715,0.6363149000352119,0.1947739862320009,30,21,9,2,0.7,0.9130434782608695,False
dissolved_oxygen,spring,177,50,0.6540390341214825,0.7121143564533395,8.15533654188622,0.6540390341214825,-0.0008336267313891901,20,13,7,5,0.65,0.7222222222222222,False
dissolved_oxygen,summer,137,54,0.7610358147661016,1.2029616060136132,36.73648344538359,0.7610358147661016,0.20850139743852344,53,33,20,1,0.6226415094339622,0.9705882352941176,False
dissolved_oxygen,winter,182,59,0.784085092143725,0.8988436236382665,12.767352237537294,0.784085092143725,-0.10758958187609657,13,7,6,5,0.5384615384615384,0.5833333333333334,False
ecoli,autumn,93,40,1.1663013408217744,1.4981463824009014,22.1503749885454,185.50667415611076,-146.22134127129027,21,0,21,0,0.0,,False
ecoli,spring,140,50,1.8425117952943977,1.9389168647498671,4.972109491033095,132.21880286069856,-112.73579046454596,21,0,21,0,0.0,,False
ecoli,summer,114,43,1.3686377405199972,1.795959122724215,23.79349155542204,252.41590424478977,-208.02781168059198,32,0,32,0,0.0,,False
