target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,5303305,13,1,0.18070523291683932,0.22092934440162473,18.206776285753374,17.116296069356476,-11.97217792563662,2,0,2,9,0.0,0.0,True
alkalinity,5303306,14,1,0.23589454535222734,0.39205327338292123,39.83099712017263,19.837851882708666,-13.62633872822938,3,1,2,2,0.3333333333333333,0.3333333333333333,True
alkalinity,5303308,5,1,0.11216218977488523,0.16856588546540988,33.46091976724366,8.454898460544097,-0.3786879877765557,0,0,0,0,,,True
alkalinity,5303309,2,1,0.47085167800401684,0.5010972312107012,6.035865162058076,25.132324988475084,25.132324988475084,1,1,0,0,1.0,1.0,True
alkalinity,53033100,12,1,0.8562904376450152,0.8960366922934639,4.435784269806587,171.21473450483913,-153.61126989997123,9,8,1,3,0.8888888888888888,0.7272727272727273,True
alkalinity,53033101,15,1,0.8730464046456896,0.7912906174525175,-10.33195458027505,86.80747598177548,-54.09154029494119,12,11,1,2,0.9166666666666666,0.8461538461538461,True
alkalinity,53033102,5,1,0.42935798374216405,0.4710653860316262,8.853845671153175,45.21923268416063,-19.772117869206003,2,0,2,2,0.0,0.0,True
alkalinity,53033103,6,1,0.36855697775262125,0.3824571934730298,3.6344500659493484,33.60725584716266,-17.281644367676183,1,0,1,3,0.0,0.0,True
alkalinity,53033104,10,1,0.7865034044740189,0.7940991598541485,0.9565247974226143,150.67149465516,-136.97198543580322,7,6,1,3,0.8571428571428571,0.6666666666666666,True
alkalinity,53033105,13,1,0.6072623034280737,0.6233449691148234,2.5800586326360713,133.94240948590544,-117.26666241725147,5,4,1,4,0.8,0.5,True
alkalinity,5303318,8,1,0.15842339875136913,0.14654515174130656,-8.105520291132537,15.367924193885699,-4.611430397533248,1,1,0,3,1.0,0.25,True
alkalinity,5303319,3,1,0.15556039871213123,0.18801204495924662,17.260408105315584,14.837702880931104,-5.61641011440183,1,1,0,1,1.0,0.5,True
alkalinity,5303320,14,1,0.18031744349538478,0.21216156031646718,15.00937152497496,14.916768241281924,-3.268686895475626,4,1,3,1,0.25,0.5,True
alkalinity,5303321,14,1,0.19791884902680673,0.21848141650029035,9.411586487703081,18.683244245635564,-7.433268077977732,3,3,0,3,1.0,0.5,True
alkalinity,5303322,2,1,0.026858753894439147,0.04567030126443061,41.189891130940396,1.9110123999910087,0.16755734504960174,0,0,0,0,,,True
alkalinity,5303335,5,1,0.1316213141630465,0.1913466132883892,31.213146707398135,7.978741411472733,6.438298762654144,1,1,0,0,1.0,1.0,True
alkalinity,5303346,14,1,0.2483633784594865,0.23686190461127415,-4.855771917855674,17.78433942359433,-4.527595208083036,1,1,0,13,1.0,0.07142857142857142,True
alkalinity,5303354,13,1,0.17340521204729167,0.1875373050425439,7.535616976071124,13.198069268709288,8.247332555107926,1,0,1,0,0.0,,True
alkalinity,5303360,11,1,0.0783059609709404,0.13990196865074953,44.02797778605749,5.826946676769449,-0.7735699171881852,0,0,0,1,,0.0,True
alkalinity,5303361,11,1,0.3581647020255105,0.3585655188914797,0.11178343840990439,57.34082293365484,-43.32863782627306,2,2,0,3,1.0,0.4,True
alkalinity,5303371,11,1,0.19260774865490016,0.3007449365676917,35.956445068345154,13.022240691162581,-2.591043548673849,4,4,0,2,1.0,0.6666666666666666,True
