target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,seen_in_model_fit,389,31,0.2003867389719309,0.21951492264798855,8.713842068373351,20.981519765554438,-11.302882344479325,76,57,19,93,0.75,0.38,False
alkalinity,unseen_in_model_fit,46,5,0.6607187179624322,0.6836301433815667,3.351435807936065,124.57136483543955,-107.39287304639225,24,18,6,15,0.75,0.5454545454545454,False
conductivity,seen_in_model_fit,229,27,0.18063571033194423,0.18387714690016602,1.7628273131634407,38.395116277524046,-19.12548007513391,31,0,31,0,0.0,,False
conductivity,unseen_in_model_fit,294,35,0.282245698516456,0.24550942560055325,-14.963284128925087,67.65246387804213,-41.6253783495983,61,0,61,0,0.0,,False
dissolved_oxygen,seen_in_model_fit,429,39,0.7167989584397655,0.8911298866569846,19.562908934769332,0.7167989584397655,0.03551020335681843,82,50,32,9,0.6097560975609756,0.847457627118644,False
dissolved_oxygen,unseen_in_model_fit,183,27,0.7051151785029589,0.9696020036429872,27.277875266996023,0.7051151785029589,0.08850131573229097,34,24,10,4,0.7058823529411765,0.8571428571428571,False
ecoli,seen_in_model_fit,293,27,1.4896809790592374,1.969023482771322,24.34417404902806,115.4323721205811,-85.24197161151363,41,0,41,0,0.0,,False
ecoli,unseen_in_model_fit,166,25,1.810946657215702,1.7294314049610988,-4.713413438703965,258.50580085433535,-230.9438218298855,47,0,47,0,0.0,,False
hardness,seen_in_model_fit,386,31,0.16687798715143043,0.17213145606053887,3.052009800730894,14.585108505760836,-6.7086926061588334,66,48,18,153,0.7272727272727273,0.23880597014925373,False
hardness,unseen_in_model_fit,42,5,0.6655766355746013,0.6994509386650843,4.842984863975273,100.50573941265507,-83.84934147334191,23,20,3,17,0.8695652173913043,0.5405405405405406,False
nitrate,seen_in_model_fit,52,5,0.14907625179174794,0.14907625179174794,0.0,0.3604649705120818,-0.15352631824435448,9,8,1,38,0.8888888888888888,0.17391304347826086,False
nitrate,unseen_in_model_fit,135,19,0.20250967081536966,0.20250967081536966,0.0,0.48374751505209296,0.06990850265839435,10,10,0,123,1.0,0.07518796992481203,False
other_coliform,seen_in_model_fit,54,12,1.0059501414233947,1.0059501414233947,0.0,2926.366111111111,440.9542592592591,14,4,10,5,0.2857142857142857,0.4444444444444444,False
other_coliform,unseen_in_model_fit,110,19,1.1398448513700836,1.1398448513700836,0.0,1590.3037272727279,186.6662727272727,21,7,14,1,0.3333333333333333,0.875,False
oxygen_saturation,seen_in_model_fit,429,39,5.863987168596971,6.418561784078393,8.640169466890164,5.863987168596971,-0.5432721720287538,76,59,17,14,0.7763157894736842,0.8082191780821918,False
oxygen_saturation,unseen_in_model_fit,183,27,7.185631676593745,4.889139799635701,-46.971286792191144,7.185631676593745,-2.9777165120379694,31,26,5,6,0.8387096774193549,0.8125,False
ph,seen_in_model_fit,442,39,0.24346153846153848,0.24346153846153848,0.0,0.24346153846153848,0.008755656108597281,65,53,12,185,0.8153846153846154,0.22268907563025211,False
ph,unseen_in_model_fit,189,27,0.2932095238095238,0.2932095238095238,0.0,0.2932095238095238,0.00587301587301588,34,32,2,121,0.9411764705882353,0.20915032679738563,False
salinity,seen_in_model_fit,28,8,0.03722334390810651,0.03238809832215887,-14.929081472620833,0.041733453177890956,-0.018014136206902724,10,6,4,5,0.6,0.5454545454545454,False
salinity,unseen_in_model_fit,5,5,0.03240349690974293,0.013111350624227486,-147.14080065761436,0.034932792102341556,0.034932792102341556,1,1,0,4,1.0,0.2,True
turbidity_legacy,seen_in_model_fit,361,26,0.36200661889930774,0.36200661889930774,0.0,2.821196097195444,-2.6937722744807626,86,67,19,111,0.7790697674418605,0.37640449438202245,False
turbidity_legacy,unseen_in_model_fit,51,6,0.5303547948305356,0.5303547948305356,0.0,15.6446956513866,-13.035381023576793,29,26,3,13,0.896551724137931,0.6666666666666666,False
turbidity_reported,seen_in_model_fit,152,21,0.27125088117907853,0.27125088117907853,0.0,4.1493540036317675,-2.9572685917992603,22,16,6,25,0.7272727272727273,0.3902439024390244,False
turbidity_reported,unseen_in_model_fit,158,27,0.6837109263673807,0.6837109263673807,0.0,10.244192769028674,-3.8788565018773338,35,16,19,13,0.45714285714285713,0.5517241379310345,False
water_temperature,seen_in_model_fit,442,39,1.4834090307650178,2.0477943767833473,27.560645366399516,1.4834090307650178,0.06283674383834517,65,56,9,33,0.8615384615384616,0.6292134831460674,False
water_temperature,unseen_in_model_fit,192,27,1.4082769761070748,2.727109809027778,48.36009274561888,1.4082769761070748,-0.3318322021357834,35,27,8,6,0.7714285714285715,0.8181818181818182,False
