target,segment,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision,small_sample
alkalinity,2025,362,35,0.25970849838862964,0.27619232577564423,5.968242361811562,34.93135806682251,-25.809455548742395,91,71,20,90,0.7802197802197802,0.4409937888198758,False
alkalinity,2026,73,28,0.1962880283516311,0.23091328184707396,14.994916367943706,17.081402069056807,0.0839659795650352,9,4,5,18,0.4444444444444444,0.18181818181818182,False
conductivity,2025,429,60,0.2300331447768118,0.20639353287007975,-11.45365921984226,56.443373007510004,-35.35391132441113,73,0,73,0,0.0,,False
conductivity,2026,94,37,0.27299568000639385,0.27388098048336673,0.32324277334279855,47.53296795186813,-15.43370440228926,19,0,19,0,0.0,,False
dissolved_oxygen,2025,500,64,0.758471554071831,0.9910953067488067,23.471380713129975,0.758471554071831,0.06212537531679697,108,68,40,12,0.6296296296296297,0.85,False
dissolved_oxygen,2026,112,42,0.511670123221298,0.5730735238224077,10.71475090867019,0.511670123221298,0.0032761639346952803,8,6,2,1,0.75,0.8571428571428571,False
ecoli,2025,365,47,1.575305212660007,1.873365302573285,15.910409438237057,167.8233685408565,-134.14153710408016,73,0,73,0,0.0,,False
ecoli,2026,94,40,1.7245454185240487,1.917352747194582,10.055913235195954,164.66083463550325,-152.66926662707698,15,0,15,0,0.0,,False
hardness,2025,353,35,0.2096935635132317,0.21269839016596864,1.4127171580340916,25.032155555053663,-17.78215816414693,77,61,16,142,0.7922077922077922,0.30049261083743845,False
hardness,2026,75,27,0.2446305841921948,0.27649532979619496,11.524514944786844,13.529893701616697,2.21165525448263,12,7,5,28,0.5833333333333334,0.2,False
nitrate,2025,151,23,0.1654007129301299,0.1654007129301299,0.0,0.4005211940367609,-0.024202832581125072,15,14,1,130,0.9333333333333333,0.09722222222222222,False
nitrate,2026,36,17,0.28097952779989377,0.28097952779989377,0.0,0.6547609083086081,0.14191408416463033,4,4,0,31,1.0,0.11428571428571428,False
other_coliform,2025,125,26,0.7684858295763054,0.7684858295763054,0.0,1949.34608,-69.33008000000017,31,11,20,5,0.3548387096774194,0.6875,False
other_coliform,2026,39,22,2.1447054510393415,2.1447054510393415,0.0,2289.4594871794875,1359.258461538462,4,0,4,1,0.0,0.0,False
oxygen_saturation,2025,500,64,6.420852511007621,6.2724979010711515,-2.3651599773534433,6.420852511007621,-0.9594409273988284,94,75,19,16,0.7978723404255319,0.8241758241758241,False
oxygen_saturation,2026,112,42,5.537453898579868,4.571666412208822,-21.125502153697617,5.537453898579868,-2.663084105391693,13,10,3,4,0.7692307692307693,0.7142857142857143,False
ph,2025,512,64,0.25172519531250004,0.25172519531250004,0.0,0.25172519531250004,0.003834570312499997,80,69,11,256,0.8625,0.2123076923076923,False
ph,2026,119,43,0.28691848739495796,0.28691848739495796,0.0,0.28691848739495796,0.025350420168067236,19,16,3,50,0.8421052631578947,0.24242424242424243,False
salinity,2025,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375,False
turbidity_legacy,2025,332,31,0.358777451713042,0.358777451713042,0.0,4.493094068986856,-4.06289235450183,89,71,18,94,0.797752808988764,0.4303030303030303,False
turbidity_legacy,2026,80,28,0.4827296248784682,0.4827296248784682,0.0,4.05780048005795,-3.60469951994205,26,22,4,30,0.8461538461538461,0.4230769230769231,False
turbidity_reported,2025,255,46,0.41386088747310334,0.41386088747310334,0.0,4.653868083173521,-0.44297811404595694,42,26,16,36,0.6190476190476191,0.41935483870967744,False
turbidity_reported,2026,55,25,0.7949442545386314,0.7949442545386314,0.0,19.31905281544203,-17.261904257607046,15,6,9,2,0.4,0.75,False
water_temperature,2025,515,64,1.4474657668688156,2.464804248448423,41.27461571116712,1.4474657668688156,0.040157857308499016,99,83,16,39,0.8383838383838383,0.680327868852459,False
water_temperature,2026,119,43,1.5177403451534157,1.3391261337868487,-13.338117064557066,1.5177403451534157,-0.4757919205663769,1,0,1,0,0.0,,False
