site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
53033103,2025-01-31,2025-01-24,16.06,43,oxygen_saturation,68.13141701064305,67.07,0.8703087400615863,1,True,52.071417010643046,51.00999999999999,52.071417010643046,winter,2025,36–60 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
5303391,2025-03-01,2025-02-22,131.48,21,oxygen_saturation,85.52884500731419,87.93499999999999,0.0961313121398067,0,False,45.9511549926858,43.545,45.9511549926858,spring,2025,10–35 days,ordinary_result,seen_in_model_fit,outside_training_5th_95th_percentiles
53033103,2025-04-29,2025-04-22,11.2,25,oxygen_saturation,54.51689649368484,52.21374999999999,0.8610632806127798,1,True,43.31689649368484,41.01374999999999,43.31689649368484,spring,2025,10–35 days,historical_tail_event,unseen_in_model_fit,outside_training_5th_95th_percentiles
251221150928,2025-08-21,2025-08-14,1.8,66,oxygen_saturation,44.90053380552307,52.0,0.993397103489781,1,True,43.10053380552307,50.2,43.10053380552307,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
251221150343,2025-06-16,2025-06-09,4.2,120,oxygen_saturation,44.703973699048746,15.7,0.9542198643268218,1,True,40.50397369904874,11.5,40.50397369904874,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
53033103,2025-02-28,2025-02-21,79.15,28,oxygen_saturation,40.53218731296909,46.665,0.8856729335256299,0,True,38.61781268703091,32.48500000000001,38.61781268703091,winter,2025,10–35 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
53033100,2026-03-22,2026-03-15,94.63,92,oxygen_saturation,59.460095284469766,67.63,0.9170137463316818,0,True,35.16990471553023,27.0,35.16990471553023,spring,2026,61–120 days,ordinary_result,unseen_in_model_fit,within_training_5th_95th_percentiles
5303384,2025-07-29,2025-07-22,39.69,71,oxygen_saturation,74.53983082000775,73.50750000000001,0.6011942512009116,1,True,34.84983082000775,33.81750000000001,34.84983082000775,summer,2025,61–120 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
251221150928,2025-11-23,2025-11-16,64.0,94,oxygen_saturation,29.18337531466036,48.20000000000001,0.8715781497844415,1,True,34.81662468533964,15.79999999999999,34.81662468533964,autumn,2025,61–120 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303321,2025-04-18,2025-04-11,32.88,30,oxygen_saturation,67.30574079474391,67.22222222222223,0.8012586920876152,1,True,34.42574079474391,34.342222222222226,34.42574079474391,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,outside_training_5th_95th_percentiles
251204215814,2026-03-06,2026-02-27,0.0,35,other_coliform,10100.000000000004,10100.000000000004,0.5756408811951301,0,True,9.220389707829185,9.220389707829185,10100.000000000004,spring,2026,10–35 days,ordinary_result,unseen_in_model_fit,outside_training_5th_95th_percentiles
