site,date,issue_date,actual,target_age_days,target,predicted,baseline_predicted,experimental_tail_probability,actual_tail_event,experimental_flag,error,baseline_error,source_error,season,year,history_age,event_group,site_training_status,extreme_group
5303321,2025-01-30,2025-01-23,50.7,33,oxygen_saturation,74.55601156975064,74.57,0.3470771051618572,1,False,23.856011569750635,23.86999999999999,23.856011569750635,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
53033100,2025-04-15,2025-04-08,62.75,43,oxygen_saturation,82.7404007391324,80.995,0.0926163213918357,1,False,19.990400739132397,18.245000000000005,19.990400739132397,spring,2025,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033100,2025-04-16,2025-04-09,62.75,44,oxygen_saturation,82.7404007391324,80.995,0.0941163213918357,1,False,19.990400739132397,18.245000000000005,19.990400739132397,spring,2025,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
53033102,2026-03-26,2026-03-19,63.01,36,oxygen_saturation,80.00065998860275,77.96,0.123053224395692,1,False,16.99065998860275,14.949999999999996,16.99065998860275,spring,2026,36–60 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
5303361,2025-02-27,2025-02-20,74.16,35,oxygen_saturation,86.2671809842724,85.22166666666666,0.0159693742334022,1,False,12.107180984272404,11.061666666666667,12.107180984272404,winter,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303346,2026-01-04,2025-12-28,70.08,46,oxygen_saturation,82.02785164587064,82.57083333333334,0.1531087459963791,1,False,11.947851645870642,12.490833333333342,11.947851645870642,winter,2026,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303384,2025-05-19,2025-05-12,67.9,23,oxygen_saturation,78.39572927510342,78.005,0.209808558869982,1,False,10.495729275103415,10.10499999999999,10.495729275103415,spring,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303346,2025-11-19,2025-11-12,72.71,25,oxygen_saturation,83.01367583866632,81.39642857142857,0.1537740936373253,1,False,10.303675838666322,8.686428571428578,10.303675838666322,autumn,2025,10–35 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
5303361,2025-11-24,2025-11-17,74.06,41,oxygen_saturation,83.79927712856556,86.423,0.0577149411129073,1,False,9.739277128565561,12.363,9.739277128565561,autumn,2025,36–60 days,historical_tail_event,seen_in_model_fit,within_training_5th_95th_percentiles
241118183629,2026-01-30,2026-01-23,7666.67,28,other_coliform,0.0,0.0,0.1350839017826178,1,False,8.94476806724572,8.94476806724572,7666.67,winter,2026,10–35 days,historical_tail_event,unseen_in_model_fit,within_training_5th_95th_percentiles
