site,rows,waterbody_variants,location_variants,first_date,last_date,waterbodies
241118180336,20,1,1,2025-01-04,2026-03-07,McKinnon Creek
241118181240,20,1,1,2025-01-04,2026-03-07,Barnes
241118181609,27,1,1,2025-01-04,2026-03-07,Lower Ballinger
241118181741,21,1,1,2024-12-07,2026-03-07,West Fork
241118181852,14,1,1,2025-01-04,2025-10-07,Brugger's Bog
241118182046,11,1,1,2024-12-12,2025-05-04,Perkins Way
241118182150,24,1,1,2025-01-05,2026-03-08,Spring Creek
241118182245,18,1,1,2025-01-05,2026-03-08,Sarah's Creek
241118182407,18,1,1,2025-01-05,2026-03-08,Whisper Creek
241118182520,18,1,1,2025-01-05,2026-03-08,Cedarbrook
241118182616,26,1,1,2025-01-03,2026-03-06,Big Tree
241118183206,28,1,1,2025-01-22,2026-03-06,Sheridan Creek
241118183308,31,1,1,2025-01-03,2026-03-06,Hillside Creek
241118183404,29,1,1,2025-01-03,2026-03-06,Brookside Creek
241118183501,22,1,1,2025-01-03,2026-03-06,Grace Cole
241118183629,19,1,1,2025-01-03,2026-03-06,Meadow Creek
251204213047,8,1,1,2025-12-05,2026-03-06,Gessner Site
251204215153,5,1,1,2026-01-02,2026-03-06,Andersen Site
251204215814,5,1,1,2026-01-02,2026-03-06,W Hillside
251204220155,5,1,1,2026-01-02,2026-03-06,S Meadow
251204220610,4,1,1,2026-01-04,2026-03-08,Upper Cedarbrook
251221144813,42,1,0,2019-10-26,2025-11-23,Springbrook Creek River MIle 1.4; Springbrook Creek River Mile 1.4; Springbrook Creek river mile 1.4
251221145424,12,1,0,2019-09-28,2020-09-27,Springbrook Creek River Mile 3.0
251221145617,12,1,0,2019-10-26,2020-09-27,Springbrook Creek River Mile 4.3
251221145854,43,1,0,2019-09-28,2025-11-23,Springbrook Creek River Mile 5.0
251221150008,30,1,0,2019-09-28,2025-11-23,Mill Creek River Mile 0.8
251221150125,11,1,0,2019-10-26,2020-09-27,Mill Creek River Mile 4.2
251221150232,42,1,0,2019-09-28,2025-11-23,Mill Creek River Mile 5.3
251221150343,42,1,0,2019-10-26,2025-11-23,Panther Creek River Mile 0.0
251221150501,32,1,0,2020-09-27,2025-11-23,Panther Creek River Mile 2.0; Panther Creek river mile 2.0
251221150619,12,1,0,2020-10-25,2021-09-26,Mill Creek River Mile 2.0
251221150716,12,1,0,2020-10-25,2021-09-26,Mill Creek River Mile 3.2
251221150808,12,1,0,2020-10-25,2021-09-26,Mill Creek River Mile 4.8
