target,samples,sites,MAE_transformed,baseline_MAE_transformed,improvement_percent,source_MAE,source_bias,events,caught,missed,false_flags,recall,precision
alkalinity,435,36,0.24906552295713333,0.268593773576137,7.270552239167263,31.9358482097262,-21.46412274054368,100,75,25,108,0.75,0.4098360655737705
conductivity,523,62,0.23775490063069465,0.21852320796692287,-8.800755234511668,54.841885291964424,-31.773606447394965,92,0,92,0,0.0,
dissolved_oxygen,612,66,0.7133052791449361,0.9145945883047598,22.008583008666392,0.7133052791449361,0.051355584998503845,116,74,42,13,0.6379310344827587,0.8505747126436781
ecoli,459,52,1.6058685663663683,1.882373624565446,14.689169811487883,167.17570364520682,-137.93588694103371,88,0,88,0,0.0,
hardness,428,36,0.21581570498734903,0.22387776042827465,3.6010970564932525,23.016572286343916,-14.278569364153435,89,68,21,170,0.7640449438202247,0.2857142857142857
nitrate,187,24,0.18765117996388128,0.18765117996388128,0.0,0.44946573796075295,0.007776894706827842,19,18,1,161,0.9473684210526315,0.1005586592178771
other_coliform,164,31,1.0957575688266614,1.0957575688266614,0.0,2030.226707317073,270.395243902439,35,11,24,6,0.3142857142857143,0.6470588235294118
oxygen_saturation,612,66,6.259184791086202,5.9612346220636665,-4.998128540684597,6.259184791086202,-1.2712187638942547,107,85,22,20,0.794392523364486,0.8095238095238095
ph,631,66,0.2583622820919176,0.2583622820919176,0.0,0.2583622820919176,0.007892234548335974,99,85,14,306,0.8585858585858586,0.21739130434782608
salinity,33,13,0.03649306405986961,0.02946737897398745,-23.84224634326703,0.040703049984625886,-0.009991874341865709,11,7,4,9,0.6363636363636364,0.4375
turbidity_legacy,412,32,0.3828458348519596,0.3828458348519596,0.0,4.408571042010369,-3.973922872063038,115,93,22,124,0.808695652173913,0.42857142857142855
turbidity_reported,310,48,0.4814724525976326,0.4814724525976326,0.0,7.255755696963094,-3.4269811395164718,57,32,25,38,0.5614035087719298,0.45714285714285713
water_temperature,634,66,1.460656105695105,2.2535176622580013,35.183285662312365,1.460656105695105,-0.056684451156974514,100,83,17,39,0.83,0.680327868852459
