site,date,target,value,waterbody,replicate_rows
241118180336,2025-01-04,conductivity,253.2,McKinnon Creek,1
241118180336,2025-02-01,conductivity,263.6,McKinnon Creek,1
241118180336,2025-03-01,conductivity,265.7,McKinnon Creek,1
241118180336,2025-04-05,conductivity,266.9,McKinnon Creek,1
241118180336,2025-05-03,conductivity,273.8,McKinnon Creek,1
241118180336,2025-06-07,conductivity,278.5,McKinnon Creek,1
241118180336,2025-10-04,conductivity,286.6,McKinnon Creek,1
241118180336,2026-01-03,conductivity,223.5,McKinnon Creek,1
241118180336,2026-01-31,conductivity,254.5,McKinnon Creek,1
241118180336,2026-03-07,conductivity,244.5,McKinnon Creek,1
241118180336,2025-01-04,dissolved_oxygen,11.07,McKinnon Creek,1
241118180336,2025-02-01,dissolved_oxygen,11.39,McKinnon Creek,1
241118180336,2025-03-01,dissolved_oxygen,11.12,McKinnon Creek,1
241118180336,2025-04-05,dissolved_oxygen,10.94,McKinnon Creek,1
241118180336,2025-05-03,dissolved_oxygen,10.86,McKinnon Creek,1
241118180336,2025-06-07,dissolved_oxygen,10.58,McKinnon Creek,1
241118180336,2025-10-04,dissolved_oxygen,10.42,McKinnon Creek,1
241118180336,2026-01-03,dissolved_oxygen,11.18,McKinnon Creek,1
241118180336,2026-01-31,dissolved_oxygen,11.09,McKinnon Creek,1
241118180336,2026-03-07,dissolved_oxygen,11.2,McKinnon Creek,1
241118180336,2025-01-04,ecoli,66.67,McKinnon Creek,1
241118180336,2025-02-01,ecoli,0.0,McKinnon Creek,1
241118180336,2025-03-01,ecoli,100.0,McKinnon Creek,1
241118180336,2025-04-05,ecoli,0.0,McKinnon Creek,1
241118180336,2025-05-03,ecoli,0.0,McKinnon Creek,1
241118180336,2025-06-07,ecoli,200.0,McKinnon Creek,1
241118180336,2025-10-07,ecoli,0.0,McKinnon Creek,1
241118180336,2026-01-03,ecoli,0.0,McKinnon Creek,1
241118180336,2026-01-31,ecoli,233.33,McKinnon Creek,1
241118180336,2026-03-07,ecoli,0.0,McKinnon Creek,1
241118180336,2025-01-04,nitrate,2.8,McKinnon Creek,1
241118180336,2025-02-01,nitrate,1.1,McKinnon Creek,1
241118180336,2025-03-01,nitrate,1.0,McKinnon Creek,1
241118180336,2025-04-05,nitrate,1.3,McKinnon Creek,1
241118180336,2025-05-03,nitrate,1.5,McKinnon Creek,1
241118180336,2025-06-07,nitrate,1.4,McKinnon Creek,1
241118180336,2025-10-04,nitrate,1.7,McKinnon Creek,1
241118180336,2026-01-03,nitrate,0.3,McKinnon Creek,1
