source,csv_line,globalid,reason
bacteria,84,{ae2112a0-92a5-40cb-a213-d926796953ef},invalid_site_identifier;
bacteria,162,{ca535ef4-a741-4a76-9a54-5fef785faf9d},invalid_site_identifier;
bacteria,207,{d3bf6bdf-6a6b-4e2b-b476-6c8c34054246},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,259,{bb4bf5d6-160e-4682-828d-503c87b30001},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,301,{05fac007-8b77-419d-8b17-93586d5e3f2f},invalid_site_identifier;
bacteria,359,{2becfcf7-f20c-417e-bfb0-808635165f46},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,432,{f57fae27-8013-4cab-8ad6-80ca607df5af},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,451,{bf17ff0d-67fc-4bbd-a1d8-e4c39de43103},invalid_site_identifier;
bacteria,493,{a6acaf99-8a1d-4000-a697-0ac22948472b},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,526,{754f2c0c-3c02-4d1c-8d5c-67ae02c0f146},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,575,{10f374f3-4e11-4580-a2fb-42f749bbd93b},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,576,{3aba09dc-605c-4fc8-b6f2-8b3d90b23bc1},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,583,{567b3399-3719-4f1d-89a5-dd9c25865232},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,831,{ad636488-e3ec-4554-981a-8cce84dca45b},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,832,{be55a5dc-eafc-4bc8-a1bf-0e0994c54f49},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,838,{8ab1e8e1-d42f-4e57-ac5c-bde83f56257a},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,889,{73658e08-d7b2-44ca-836b-a475cd6992d7},nonempty_extra_columns;invalid_site_identifier;invalid_or_shifted_metadata;
bacteria,946,{b2195143-f7ef-44fb-a71c-bf0471a809dc},invalid_site_identifier;
bacteria,1057,{ea6140dd-1fb5-4cba-8a2e-86781af72412},invalid_site_identifier;
