site,eligible_targets,unavailable_targets,flagged_targets,note
241118180336,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118181240,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118181609,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118181741,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118181852,0,15,,Correlated target flags; no combined safety score.
241118182046,0,15,,Correlated target flags; no combined safety score.
241118182150,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118182245,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118182407,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118182520,9,6,ph;nitrate;turbidity_reported,Correlated target flags; no combined safety score.
241118182616,9,6,ph;nitrate;turbidity_reported,Correlated target flags; no combined safety score.
241118183206,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118183308,9,6,ph;nitrate;turbidity_reported,Correlated target flags; no combined safety score.
241118183404,9,6,ph;nitrate,Correlated target flags; no combined safety score.
241118183501,9,6,ph;nitrate;turbidity_reported,Correlated target flags; no combined safety score.
241118183629,9,6,ph;nitrate;turbidity_reported,Correlated target flags; no combined safety score.
251204213047,7,8,ph;nitrate,Correlated target flags; no combined safety score.
251204215153,9,6,ph;nitrate,Correlated target flags; no combined safety score.
251204215814,9,6,ph;nitrate,Correlated target flags; no combined safety score.
251204220155,9,6,ph;nitrate,Correlated target flags; no combined safety score.
251204220610,8,7,ph;nitrate;turbidity_reported,Correlated target flags; no combined safety score.
251221144813,0,15,,Correlated target flags; no combined safety score.
251221145424,0,15,,Correlated target flags; no combined safety score.
251221145617,0,15,,Correlated target flags; no combined safety score.
251221145854,0,15,,Correlated target flags; no combined safety score.
251221150008,0,15,,Correlated target flags; no combined safety score.
251221150125,0,15,,Correlated target flags; no combined safety score.
251221150232,0,15,,Correlated target flags; no combined safety score.
251221150343,0,15,,Correlated target flags; no combined safety score.
251221150501,0,15,,Correlated target flags; no combined safety score.
251221150619,0,15,,Correlated target flags; no combined safety score.
251221150716,0,15,,Correlated target flags; no combined safety score.
251221150808,0,15,,Correlated target flags; no combined safety score.
251221150928,0,15,,Correlated target flags; no combined safety score.
251221151121,0,15,,Correlated target flags; no combined safety score.
251221151218,0,15,,Correlated target flags; no combined safety score.
251221151317,0,15,,Correlated target flags; no combined safety score.
251221151517,0,15,,Correlated target flags; no combined safety score.
251221151617,0,15,,Correlated target flags; no combined safety score.
251221151814,0,15,,Correlated target flags; no combined safety score.
251221151903,0,15,,Correlated target flags; no combined safety score.
251221152037,0,15,,Correlated target flags; no combined safety score.
251221152129,0,15,,Correlated target flags; no combined safety score.
251221152222,0,15,,Correlated target flags; no combined safety score.
251221152323,0,15,,Correlated target flags; no combined safety score.
251221152424,0,15,,Correlated target flags; no combined safety score.
251221152517,0,15,,Correlated target flags; no combined safety score.
251221152605,0,15,,Correlated target flags; no combined safety score.
251221152655,0,15,,Correlated target flags; no combined safety score.
251221152745,0,15,,Correlated target flags; no combined safety score.
251221152839,0,15,,Correlated target flags; no combined safety score.
251221152931,0,15,,Correlated target flags; no combined safety score.
251221153056,0,15,,Correlated target flags; no combined safety score.
251221153156,0,15,,Correlated target flags; no combined safety score.
251221153641,0,15,,Correlated target flags; no combined safety score.
251221153821,0,15,,Correlated target flags; no combined safety score.
251221153909,0,15,,Correlated target flags; no combined safety score.
251221154015,0,15,,Correlated target flags; no combined safety score.
251221154202,0,15,,Correlated target flags; no combined safety score.
251221154334,0,15,,Correlated target flags; no combined safety score.
5303301,0,15,,Correlated target flags; no combined safety score.
5303302,0,15,,Correlated target flags; no combined safety score.
5303303,0,15,,Correlated target flags; no combined safety score.
5303304,0,15,,Correlated target flags; no combined safety score.
5303305,11,4,alkalinity,Correlated target flags; no combined safety score.
5303306,9,6,turbidity_legacy,Correlated target flags; no combined safety score.
5303307,0,15,,Correlated target flags; no combined safety score.
5303308,0,15,,Correlated target flags; no combined safety score.
5303309,0,15,,Correlated target flags; no combined safety score.
5303310,0,15,,Correlated target flags; no combined safety score.
53033100,7,8,water_temperature;dissolved_oxygen;oxygen_saturation;turbidity_legacy;alkalinity,Correlated target flags; no combined safety score.
53033101,9,6,turbidity_legacy;alkalinity;hardness,Correlated target flags; no combined safety score.
53033102,9,6,dissolved_oxygen;oxygen_saturation;ph;turbidity_legacy;hardness,Correlated target flags; no combined safety score.
53033103,9,6,dissolved_oxygen;oxygen_saturation;ph;turbidity_legacy,Correlated target flags; no combined safety score.
53033104,5,10,turbidity_legacy;alkalinity,Correlated target flags; no combined safety score.
53033105,9,6,dissolved_oxygen;oxygen_saturation;hardness,Correlated target flags; no combined safety score.
5303311,0,15,,Correlated target flags; no combined safety score.
5303312,0,15,,Correlated target flags; no combined safety score.
5303313,0,15,,Correlated target flags; no combined safety score.
5303314,0,15,,Correlated target flags; no combined safety score.
5303315,0,15,,Correlated target flags; no combined safety score.
5303316,0,15,,Correlated target flags; no combined safety score.
