target,label,valid_site_days,sites,first_date,last_date,eligible_forecasts,source_column,caution
ecoli,E. coli,2401,109,2015-08-22,2026-04-11,2112,Average_e_coli,
other_coliform,Other coliform,1987,102,2015-08-22,2026-04-10,1716,Average_coliform,
water_temperature,Water temperature,3115,162,2015-08-22,2026-04-11,2713,water_temperature,
dissolved_oxygen,Dissolved oxygen,3094,162,2015-08-22,2026-04-11,2691,Average_dissolved_oxygen_dis,
oxygen_saturation,Oxygen saturation,3092,162,2015-08-22,2026-04-11,2688,Per_Oxy_Sat_Auto_W_Hight,
ph,pH,3118,162,2015-08-22,2026-04-11,2714,ph_standard_units,
conductivity,Conductivity,1122,96,2019-09-28,2026-04-11,901,conductivity,
nitrate,Nitrate,578,62,2019-10-26,2026-03-29,448,Nitrate,
phosphate,Phosphate,284,31,2022-11-30,2026-03-29,225,Phosphate,
turbidity_reported,Turbidity (reported field),887,90,2019-09-28,2026-04-11,678,Turbidity,Mixed or missing tube/meter method; possible detection-limit values. Do not combine with legacy turbidity.
turbidity_legacy,Turbidity (legacy field),2414,100,2015-08-22,2026-04-11,2149,turbidity_x_5_bc_50ml,Legacy measurement field; protocol and detection limits need confirmation.
suspended_solids,Suspended solids,205,26,2024-07-16,2026-03-07,152,TSS,
alkalinity,Alkalinity,2509,117,2015-08-22,2026-04-11,2208,total_alkalinity,
hardness,Hardness,2511,115,2015-08-22,2026-04-11,2214,total_hardness,
salinity,Salinity,418,41,2019-09-28,2025-11-23,321,Salinity,Units and unusually large values need verification.
