target,scenario,sites,mean_error_gain,lower_95,upper_95
alkalinity,all_test_observations,36,0.019528250619003682,0.004898338907521149,0.03742317043069305
alkalinity,combined_conservative_subset,27,0.03181766609648984,0.009602667676526264,0.05327431853697395
conductivity,all_test_observations,62,-0.019231692663771748,-0.03794532404557428,-0.001608794724476827
conductivity,combined_conservative_subset,54,-0.0024284373060672547,-0.01772875054950237,0.011832597181938678
dissolved_oxygen,all_test_observations,66,0.20128930915982376,0.12563542478150466,0.2800773360230101
dissolved_oxygen,combined_conservative_subset,57,0.2350399933734767,0.1447695878501807,0.32417479149836315
ecoli,all_test_observations,52,0.27650505819907756,0.1154083507986697,0.4223943526674023
ecoli,combined_conservative_subset,44,0.0791472343502929,-0.045171313312495756,0.21924502764790116
hardness,all_test_observations,36,0.008062055440925576,-0.001892828224347505,0.021217543929397724
hardness,combined_conservative_subset,27,0.017570694314420942,0.002751202544354846,0.033051464958412546
nitrate,all_test_observations,24,0.0,0.0,0.0
nitrate,combined_conservative_subset,24,0.0,0.0,0.0
other_coliform,all_test_observations,31,0.0,0.0,0.0
other_coliform,combined_conservative_subset,26,0.0,0.0,0.0
oxygen_saturation,all_test_observations,66,-0.29795016902253585,-0.9536731559310354,0.402329788017603
oxygen_saturation,combined_conservative_subset,57,-0.5531134816385366,-1.3935583472648883,0.2539609041034832
ph,all_test_observations,66,0.0,0.0,0.0
ph,combined_conservative_subset,57,0.0,0.0,0.0
salinity,all_test_observations,13,-0.007025685085882159,-0.012273326844750774,-0.0031965809949640405
salinity,combined_conservative_subset,13,-0.007025685085882159,-0.012273326844750774,-0.0031965809949640405
turbidity_legacy,all_test_observations,32,0.0,0.0,0.0
turbidity_legacy,combined_conservative_subset,23,0.0,0.0,0.0
turbidity_reported,all_test_observations,48,0.0,0.0,0.0
turbidity_reported,combined_conservative_subset,20,0.0,0.0,0.0
water_temperature,all_test_observations,66,0.7928615565628965,0.5760434823989583,1.0601500342867909
water_temperature,combined_conservative_subset,57,0.9540917929369536,0.6385032109047695,1.2560267486394345
